front,back
"Soit&nbsp;&nbsp;[$]a \in \mathbb{K} \;, P \in \mathbb{K}[X]&nbsp;\; et \; p \in \mathbb{N}^*[/$]&nbsp;<div><br /></div><div>Les propositions suivantes sont équivalentes :</div><div><br /></div><div>1. {{c1::a est une racine d'ordre p de P}}</div><div><br /></div><div>2. {{c2::( a est une racine de P) et ( a est une racine d'ordre p-1 de P' )}}</div><div><br /></div>",
"Soit&nbsp;&nbsp;[$]a \in \mathbb{K} \;, P \in \mathbb{K}[X]&nbsp;\; et \; p \in \mathbb{N}^*[/$]&nbsp;<div><br /></div><div>Les propositions suivantes sont équivalentes :</div><div><br /></div><div>1. {{c1::a est une racine d'ordre p de P}}</div><div><br /></div><div>2. {{c2::( a est une racine de P) et ( a est une racine d'ordre p-1 de P' )}}</div><div><br /></div>",
"Soit&nbsp;&nbsp;[$]a \in \mathbb{K} \;, P \in \mathbb{K}[X]&nbsp;\; et \; k \in \mathbb{N}^*[/$]&nbsp;<div><br /></div><div>Les propositions suivantes sont équivalentes :</div><div><br /></div><div>1. {{c1::a est une racine d'ordre k de P}}</div><div><br /></div><div>2. P(a){{c2:: = P'(a) = ... = P<sup>(k-1)</sup>(a) = 0 et p<sup>(k)</sup>(a) [$]\neq[/$] 0&nbsp;}}</div>",
"Soit&nbsp;&nbsp;[$]a \in \mathbb{K} \;, P \in \mathbb{K}[X]&nbsp;\; et \; k \in \mathbb{N}^*[/$]&nbsp;<div><br /></div><div>Les propositions suivantes sont équivalentes :</div><div><br /></div><div>1. {{c1::a est une racine d'ordre k de P}}</div><div><br /></div><div>2. P(a){{c2:: = P'(a) = ... = P<sup>(k-1)</sup>(a) = 0 et p<sup>(k)</sup>(a) [$]\neq[/$] 0&nbsp;}}</div>",
"On dit que [$]P \in \mathbb{K}[X][/$] est irréductible dans [$]\mathbb{K}[X][/$] si<div><br /></div><div>1. {{c2::[$]deg P \geq 1[/$]}}</div><div><br /></div><div>2. {{c1::Les seuls diviseurs de P dans [$]\mathbb{K}[X][/$] sont les polynomes [$]\lambda[/$] et les polynomes [$]\lambda P[/$], avec [$]\lambda \in \mathbb{K}^*[/$]}}</div>",
"On dit que [$]P \in \mathbb{K}[X][/$] est irréductible dans [$]\mathbb{K}[X][/$] si<div><br /></div><div>1. {{c2::[$]deg P \geq 1[/$]}}</div><div><br /></div><div>2. {{c1::Les seuls diviseurs de P dans [$]\mathbb{K}[X][/$] sont les polynomes [$]\lambda[/$] et les polynomes [$]\lambda P[/$], avec [$]\lambda \in \mathbb{K}^*[/$]}}</div>",
"Si [$]P \in \mathbb{K}[X][/$] est de degré {{c1::1}}, alors P est irréductible sur [$]\mathbb{K}[/$]",
"Si [$]P \in \mathbb{K}[X][/$] est de degré {{c1::2}}, alors&nbsp;<div><br /></div><div>{{c3::( P est irréductible )}} ssi {{c2::( P ne possède pas de racines dans [$]\mathbb{K}[/$] )}}</div>",
"Si [$]P \in \mathbb{K}[X][/$] est de degré {{c1::2}}, alors&nbsp;<div><br /></div><div>{{c3::( P est irréductible )}} ssi {{c2::( P ne possède pas de racines dans [$]\mathbb{K}[/$] )}}</div>",
"Si [$]P \in \mathbb{K}[X][/$] est de degré {{c1::2}}, alors&nbsp;<div><br /></div><div>{{c3::( P est irréductible )}} ssi {{c2::( P ne possède pas de racines dans [$]\mathbb{K}[/$] )}}</div>",
"Soit&nbsp;[$]P \in \mathbb{K}[X][/$]. Si {{c2::[$]deg(P) \geq 1[/$]}}, alors P possède {{c1::un diviseur irréductible}}.&nbsp;",
"Soit&nbsp;[$]P \in \mathbb{K}[X][/$]. Si {{c2::[$]deg(P) \geq 1[/$]}}, alors P possède {{c1::un diviseur irréductible}}.&nbsp;",
<u>Théorème de d'Alembert-Gauss : </u>&nbsp;(polynomes)<div><br /></div><div>{{c1::Tout polynome non nul et non constant possède au moins une racine dans [$]\mathbb{C}[/$]}}</div>,
Les polynomes irréductibles de [$]\mathbb{C}[X][/$] sont {{c1::les polynomes de degré 1}},
Les polynomes irréductibles dans [$]\mathbb{R}[X][/$] sont&nbsp;<div><br /></div><div>1. {{c2::Les polynomes de degré 1}}</div><div><br /></div><div>2. {{c1::les polynomes de degré 2 à discriminant strictement négatif}}</div>,
Les polynomes irréductibles dans [$]\mathbb{R}[X][/$] sont&nbsp;<div><br /></div><div>1. {{c2::Les polynomes de degré 1}}</div><div><br /></div><div>2. {{c1::les polynomes de degré 2 à discriminant strictement négatif}}</div>,
"Si s est {{c1::( une permutation de&nbsp;[$][\![ 1;n ]\!][/$] ) et ( une bijection de &nbsp;[$]&nbsp;[\![ 1;n ]\!][/$] dans&nbsp;[$][\![ 1;n ]\!][/$] )}} alors,<div><br /></div><div>[$]\forall k \in ([\![ 1;n ]\!])^2, \; \forall (x_1,...,x_n) \in \mathbb{K}^n, \sigma_k(x_{s(1)},...,x_{s(n)}) = {{c2::\sigma_k (x_1,...,x_n)}}[/$]</div>",
"Si s est {{c1::( une permutation de&nbsp;[$][\![ 1;n ]\!][/$] ) et ( une bijection de &nbsp;[$]&nbsp;[\![ 1;n ]\!][/$] dans&nbsp;[$][\![ 1;n ]\!][/$] )}} alors,<div><br /></div><div>[$]\forall k \in ([\![ 1;n ]\!])^2, \; \forall (x_1,...,x_n) \in \mathbb{K}^n, \sigma_k(x_{s(1)},...,x_{s(n)}) = {{c2::\sigma_k (x_1,...,x_n)}}[/$]</div>",
"<u>Fonctions symétriques élémentaires.</u><div><br /></div><div>Soit [$]n \in&nbsp;[\![ 2; + \infty ]\!] &nbsp;\; et \; (x_1,...,x_n) \in \mathbb{K}^n.[/$]</div><div><br /></div><div>[$$]\forall k \in [\![ 1;n ]\!] , \quad \sigma_k = {{c1::\sum_{1 \leq i_1 &lt; i_2 &lt; ... &lt; i_k \leq n } x_{i_1} x_{i_2} ... x_{i_k} }}[/$$]</div>",
"On dit que [$]P \in \mathbb{K}[X][/$] est scindé sur [$]\mathbb{K}[/$] si&nbsp;<div><br /></div><div>il existe {{c1::[$]\lambda \in \mathbb{K}^*, n \in \mathbb{N}^* \; et &nbsp;\; (x_1,x_2,...x_n) \in \mathbb{K}^n[/$]}} tel que&nbsp;</div><div><br /></div><div>[$]P = {{c1::\lambda(X - x_1)(X-x_2)...(X-x_n)}}[/$]</div>",
"Soit [$]n \in [\![ 2; +\infty ]\!][/$] et [$]P = a_nX^n + ... + a_1 X + a_0 \in \mathbb{K}[X][/$], un polynome scindé sur [$]\mathbb{K}[/$] avec [$]a_n \neq 0[/$] ainsi que [$](x_1,...x_n) \in \mathbb{K}^n[/$]<div><br /></div><div>Les propositions suivantes sont équivalentes :</div><div><br /></div><div>1. {{c1::[$](x_1,...,x_n)[/$] est un n-uplet formé des racines de P.}}</div><div><br /></div><div>2. {{c2::[$]P = a_n (X^n - \sigma_1 X^{n-1} + \sigma_2 X^{n-2} ... + (-1)^n \sigma_n )[/$]}}</div><div><br /></div><div>3. [$]\sigma_k = {{c3::(-1)^k \frac{a_{n-k} } {a_n} }}[/$]</div><div><br /></div>",
"Soit [$]n \in [\![ 2; +\infty ]\!][/$] et [$]P = a_nX^n + ... + a_1 X + a_0 \in \mathbb{K}[X][/$], un polynome scindé sur [$]\mathbb{K}[/$] avec [$]a_n \neq 0[/$] ainsi que [$](x_1,...x_n) \in \mathbb{K}^n[/$]<div><br /></div><div>Les propositions suivantes sont équivalentes :</div><div><br /></div><div>1. {{c1::[$](x_1,...,x_n)[/$] est un n-uplet formé des racines de P.}}</div><div><br /></div><div>2. {{c2::[$]P = a_n (X^n - \sigma_1 X^{n-1} + \sigma_2 X^{n-2} ... + (-1)^n \sigma_n )[/$]}}</div><div><br /></div><div>3. [$]\sigma_k = {{c3::(-1)^k \frac{a_{n-k} } {a_n} }}[/$]</div><div><br /></div>",
"Soit [$]n \in [\![ 2; +\infty ]\!][/$] et [$]P = a_nX^n + ... + a_1 X + a_0 \in \mathbb{K}[X][/$], un polynome scindé sur [$]\mathbb{K}[/$] avec [$]a_n \neq 0[/$] ainsi que [$](x_1,...x_n) \in \mathbb{K}^n[/$]<div><br /></div><div>Les propositions suivantes sont équivalentes :</div><div><br /></div><div>1. {{c1::[$](x_1,...,x_n)[/$] est un n-uplet formé des racines de P.}}</div><div><br /></div><div>2. {{c2::[$]P = a_n (X^n - \sigma_1 X^{n-1} + \sigma_2 X^{n-2} ... + (-1)^n \sigma_n )[/$]}}</div><div><br /></div><div>3. [$]\sigma_k = {{c3::(-1)^k \frac{a_{n-k} } {a_n} }}[/$]</div><div><br /></div>",
On appelle système de vecteurs de E {{c1::tout n-uplet [$](n \in \mathbb{N}^*)[/$] de vecteurs de E.}},
On appelle famille de vecteurs de E indéxée par l'ensemble [$]I \neq&nbsp;\emptyset[/$] {{c1::toute application de I dans E. ( notée [$]\mathcal{F} = (\overrightarrow{x_i})_{i \in I}[/$]en notation indicielle )&nbsp;}} &nbsp;,
"Soit E un espace vectoriel sur [$]\mathbb{K}[/$]. On dit que [$]F \subset E[/$] est un sous-espace vectoriel de E si&nbsp;<div><br /></div><div>1. {{c1::[$]F \neq \emptyset&nbsp;[/$]}}</div><div><br /></div><div>2. {{c2::[$]\forall (\overrightarrow{x}&nbsp;,\overrightarrow{y}&nbsp;) \in &nbsp;F^2 , \quad \overrightarrow{x} + \overrightarrow{y} &nbsp;\in F&nbsp;&nbsp;[/$]&nbsp;}}</div><div><br /></div><div>3. {{c3::[$]\forall&nbsp;\overrightarrow{x} \in F, \forall \alpha \in \mathbb{K}, \quad \alpha&nbsp;\overrightarrow{x} &nbsp;\in F[/$] }}</div>",
"Soit E un espace vectoriel sur [$]\mathbb{K}[/$]. On dit que [$]F \subset E[/$] est un sous-espace vectoriel de E si&nbsp;<div><br /></div><div>1. {{c1::[$]F \neq \emptyset&nbsp;[/$]}}</div><div><br /></div><div>2. {{c2::[$]\forall (\overrightarrow{x}&nbsp;,\overrightarrow{y}&nbsp;) \in &nbsp;F^2 , \quad \overrightarrow{x} + \overrightarrow{y} &nbsp;\in F&nbsp;&nbsp;[/$]&nbsp;}}</div><div><br /></div><div>3. {{c3::[$]\forall&nbsp;\overrightarrow{x} \in F, \forall \alpha \in \mathbb{K}, \quad \alpha&nbsp;\overrightarrow{x} &nbsp;\in F[/$] }}</div>",
"Soit E un espace vectoriel sur [$]\mathbb{K}[/$]. On dit que [$]F \subset E[/$] est un sous-espace vectoriel de E si&nbsp;<div><br /></div><div>1. {{c1::[$]F \neq \emptyset&nbsp;[/$]}}</div><div><br /></div><div>2. {{c2::[$]\forall (\overrightarrow{x}&nbsp;,\overrightarrow{y}&nbsp;) \in &nbsp;F^2 , \quad \overrightarrow{x} + \overrightarrow{y} &nbsp;\in F&nbsp;&nbsp;[/$]&nbsp;}}</div><div><br /></div><div>3. {{c3::[$]\forall&nbsp;\overrightarrow{x} \in F, \forall \alpha \in \mathbb{K}, \quad \alpha&nbsp;\overrightarrow{x} &nbsp;\in F[/$] }}</div>",
"<div><u>Caractérisation de sous-espace vectoriel</u></div><div><br /></div><div>Soit E un espace vectoriel sur [$]\mathbb{K}[/$]. [$]F \subset E[/$] est un sous-espace vectoriel de E si et seulement si&nbsp;</div><div><br /></div><div>1. {{c1::[$]F \neq \emptyset&nbsp;[/$]}}</div><div><br /></div><div>2. {{c2::[$]\forall (\overrightarrow{x}&nbsp;,\overrightarrow{y}&nbsp;) \in F^2, \forall (\alpha, \beta) \in \mathbb{K}^2 \quad \alpha \overrightarrow{x} + \beta \overrightarrow{y} &nbsp;\in F[/$]}}</div>",
"<div><u>Caractérisation de sous-espace vectoriel</u></div><div><br /></div><div>Soit E un espace vectoriel sur [$]\mathbb{K}[/$]. [$]F \subset E[/$] est un sous-espace vectoriel de E si et seulement si&nbsp;</div><div><br /></div><div>1. {{c1::[$]F \neq \emptyset&nbsp;[/$]}}</div><div><br /></div><div>2. {{c2::[$]\forall (\overrightarrow{x}&nbsp;,\overrightarrow{y}&nbsp;) \in F^2, \forall (\alpha, \beta) \in \mathbb{K}^2 \quad \alpha \overrightarrow{x} + \beta \overrightarrow{y} &nbsp;\in F[/$]}}</div>",
"On dit qu'un espace vectoriel E sur [$]\mathbb{K}[/$] est une droite vectorielle si&nbsp;{{c1::il existe&nbsp;[$]\overrightarrow{a} \in E \setminus \{ \overrightarrow{0} \}[/$] tel que&nbsp;<div><br /></div><div>[$]E = \mathbb{K} \overrightarrow{a} = \{ \alpha&nbsp;\overrightarrow{a}, \alpha \in \mathbb{K} \}[/$] &nbsp;</div>}}",
"Soit [$]S = (\overrightarrow{x_1}&nbsp;,...\overrightarrow{x_n}&nbsp;) (n \in \mathbb{N}^*)[/$] un système de vecteurs de E.&nbsp;<div><br /></div>{{c1::<div>L'ensemble de toutes combinaisons linéaires des vecteurs de S noté&nbsp;</div><div><br /></div><div>[$]vect(S) = \{ \lambda_1&nbsp;\overrightarrow{x_1} + ... +&nbsp;\lambda_n&nbsp;\overrightarrow{x_n}, (\lambda_1,... \lambda_n) \in \mathbb{K}) \}[/$]</div><div>}}&nbsp;est {{c2::le plus petit sous-espace vectoriel de E contenant [$]\{&nbsp;\overrightarrow{x_1}, ...&nbsp;\overrightarrow{x_n} \} [/$]}}.</div>",
"Soit [$]S = (\overrightarrow{x_1}&nbsp;,...\overrightarrow{x_n}&nbsp;) (n \in \mathbb{N}^*)[/$] un système de vecteurs de E.&nbsp;<div><br /></div>{{c1::<div>L'ensemble de toutes combinaisons linéaires des vecteurs de S noté&nbsp;</div><div><br /></div><div>[$]vect(S) = \{ \lambda_1&nbsp;\overrightarrow{x_1} + ... +&nbsp;\lambda_n&nbsp;\overrightarrow{x_n}, (\lambda_1,... \lambda_n) \in \mathbb{K}) \}[/$]</div><div>}}&nbsp;est {{c2::le plus petit sous-espace vectoriel de E contenant [$]\{&nbsp;\overrightarrow{x_1}, ...&nbsp;\overrightarrow{x_n} \} [/$]}}.</div>",
"Si {{c1::F et G sont deux sous-espaces vectoriels de E}}, alors F+G est un sous-espace vectoriel de E",
"<div><u>Définition somme directe&nbsp;</u></div><div><br /></div>Soit E un espace vectoriel sur [$]\mathbb{K}[/$], et F et G deux sous-espaces vectoriels de E. On dit que la somme F+G est directe si {{c1::[$]FnG = \{&nbsp;\overrightarrow{0} \}[/$] }}&nbsp;",
"<div><u>Caractérisation somme directe</u></div><div><br /></div>Soit E un espace vectoriel sur [$]\mathbb{K}[/$], et F et G deux sous-espaces vectoriels de E.<div><br /></div><div>(F et G sont en somme directe ) si et seulement si {{c1::( [$]\forall z \in F+G, \exists ! (&nbsp;\overrightarrow{x} ,&nbsp;\overrightarrow{y} ) \in F \times G , \; z = x+y[/$] )}}</div>",
"Soit E un espace vectoriel sur [$]\mathbb{K}[/$], et F et G deux sous-espaces vectoriels de E. On dit que F et G sont supplémentaires dans E si<div><br /></div><div>{{c1::<div>1. F+G = E</div><div>2. La somme F+G est directe</div>}}</div>",
"<div><u>Définition application linéaire</u></div><div><br /></div>Soit E et F deux espaces vectoriels sur [$]\mathbb{K}[/$]. On dit que [$]u : E \to F[/$] est linéaire si&nbsp;<div><br /></div><div>1. {{c2::[$]\forall (\overrightarrow{x} ,\overrightarrow{y}) \in E^2, \quad u(\overrightarrow{x} +\overrightarrow{y}) = u(\overrightarrow{x} ) + u(\overrightarrow{y}) &nbsp;&nbsp;[/$]}}</div><div>2. {{c1::[$]\forall&nbsp;\overrightarrow{x} \in E, \forall \alpha \in \mathbb{K}, \quad u(\alpha&nbsp;\overrightarrow{x} ) = \alpha u(\overrightarrow{x} )[/$]}}</div>",
"<div><u>Définition application linéaire</u></div><div><br /></div>Soit E et F deux espaces vectoriels sur [$]\mathbb{K}[/$]. On dit que [$]u : E \to F[/$] est linéaire si&nbsp;<div><br /></div><div>1. {{c2::[$]\forall (\overrightarrow{x} ,\overrightarrow{y}) \in E^2, \quad u(\overrightarrow{x} +\overrightarrow{y}) = u(\overrightarrow{x} ) + u(\overrightarrow{y}) &nbsp;&nbsp;[/$]}}</div><div>2. {{c1::[$]\forall&nbsp;\overrightarrow{x} \in E, \forall \alpha \in \mathbb{K}, \quad u(\alpha&nbsp;\overrightarrow{x} ) = \alpha u(\overrightarrow{x} )[/$]}}</div>",
"Soit E et F deux espaces vectoriels sur [$]\mathbb{K}[/$] et [$]u : E \to F[/$]&nbsp;<div><br /></div><div>(u est une application linéaire de E dans F) si et seulement si &nbsp;</div><div><br /></div><div>{{c1::[$]&nbsp;\forall (\overrightarrow{x} ,\overrightarrow{y} ) \in E^2, \forall (\alpha, \beta) \in \mathbb{K}^2, \quad u(\alpha&nbsp;\overrightarrow{x} + \beta&nbsp;\overrightarrow{y} ) = \alpha u(\overrightarrow{x} ) + \beta u(\overrightarrow{y} )[/$]}}<br /><div><br /></div></div>",
"Si {{c1::E et F sont des espaces vectoriels sur [$]\mathbb{K}[/$]}}, alors {{c2::[$]\mathcal{L}(E,F)[/$]}} est un espace vectoriel sur [$]\mathbb{K}[/$]",
"Si {{c1::E et F sont des espaces vectoriels sur [$]\mathbb{K}[/$]}}, alors {{c2::[$]\mathcal{L}(E,F)[/$]}} est un espace vectoriel sur [$]\mathbb{K}[/$]",
"Soit E, F et G trois espaces vectoriels sur [$]\mathbb{K}[/$]. Si {{c1::[$]u \in \mathcal{L}(E,F)[/$] et [$]v \in \mathcal{L}(F,G)[/$]}}, alors [$]vou \in \mathcal{L}(E,G)[/$]",
"Soit E et F deux espaces vectoriels sur [$]\mathbb{K}[/$]. Si {{c1::[$]u : E \to F[/$] est linéaire bijective}}, alors [$]u^{-1} : F \to E[/$] est linéaire bijective.",
"Soit E et F deux espaces vectoriels sur [$]\mathbb{K}[/$] et [$]u \in\mathcal{L}(E,F)[/$].&nbsp;<div><br /></div><div>1. Si E<sub>1</sub>&nbsp;est un sous-espace vectoriel de E,&nbsp;{{c3::u(E<sub>1</sub>)}}&nbsp;est un sous-espace vectoriel de {{c1::F}}.</div><div>2. Si F<sub>1</sub>&nbsp;est un sous-espace vectoriel de F,&nbsp;{{c4::u<sup>-1</sup>(F<sub>1</sub>)}}&nbsp;est un sous-espace vectoriel de {{c2::E}}.</div>",
"Soit E et F deux espaces vectoriels sur [$]\mathbb{K}[/$] et [$]u \in\mathcal{L}(E,F)[/$].&nbsp;<div><br /></div><div>1. Si E<sub>1</sub>&nbsp;est un sous-espace vectoriel de E,&nbsp;{{c3::u(E<sub>1</sub>)}}&nbsp;est un sous-espace vectoriel de {{c1::F}}.</div><div>2. Si F<sub>1</sub>&nbsp;est un sous-espace vectoriel de F,&nbsp;{{c4::u<sup>-1</sup>(F<sub>1</sub>)}}&nbsp;est un sous-espace vectoriel de {{c2::E}}.</div>",
"Soit E et F deux espaces vectoriels sur [$]\mathbb{K}[/$] et [$]u \in\mathcal{L}(E,F)[/$].&nbsp;<div><br /></div><div>1. Si E<sub>1</sub>&nbsp;est un sous-espace vectoriel de E,&nbsp;{{c3::u(E<sub>1</sub>)}}&nbsp;est un sous-espace vectoriel de {{c1::F}}.</div><div>2. Si F<sub>1</sub>&nbsp;est un sous-espace vectoriel de F,&nbsp;{{c4::u<sup>-1</sup>(F<sub>1</sub>)}}&nbsp;est un sous-espace vectoriel de {{c2::E}}.</div>",
"Soit E et F deux espaces vectoriels sur [$]\mathbb{K}[/$] et [$]u \in\mathcal{L}(E,F)[/$].&nbsp;<div><br /></div><div>1. Si E<sub>1</sub>&nbsp;est un sous-espace vectoriel de E,&nbsp;{{c3::u(E<sub>1</sub>)}}&nbsp;est un sous-espace vectoriel de {{c1::F}}.</div><div>2. Si F<sub>1</sub>&nbsp;est un sous-espace vectoriel de F,&nbsp;{{c4::u<sup>-1</sup>(F<sub>1</sub>)}}&nbsp;est un sous-espace vectoriel de {{c2::E}}.</div>",
"Soit E et F deux espaces vectoriels sur [$]\mathbb{K}[/$] et [$]u \in\mathcal{L}(E,F)[/$].&nbsp;<div><br /></div><div>Im(u) = {{c2::u(E)}} est un sous-espace vectoriel de F appelé image de u.</div><div>Ker(u) = {{c1::[$]u^{-1} (\{&nbsp;\overrightarrow{0_F} \}[/$]}} est un sous-espace vectoriel de E appelé noyau de u.</div>",
"Soit E et F deux espaces vectoriels sur [$]\mathbb{K}[/$] et [$]u \in\mathcal{L}(E,F)[/$].&nbsp;<div><br /></div><div>Im(u) = {{c2::u(E)}} est un sous-espace vectoriel de F appelé image de u.</div><div>Ker(u) = {{c1::[$]u^{-1} (\{&nbsp;\overrightarrow{0_F} \}[/$]}} est un sous-espace vectoriel de E appelé noyau de u.</div>",
"Soit E et F deux espaces vectoriels sur [$]\mathbb{K}[/$] et [$]u \in\mathcal{L}(E,F)[/$].&nbsp;<div><br /></div><div>u est surjective si et seulement si Im(u) = {{c2::F}}.</div><div>u est injective si et seulement si Ker(u) = {{c1::[$]\{ \overrightarrow{0_E} \}[/$]}} si et seulement si l'équation {{c3::[$]u( \overrightarrow{x} ) =&nbsp;\overrightarrow{0_F}[/$]}} possède une unique solution [$]\overrightarrow{x} =\overrightarrow{0_E}&nbsp;[/$]&nbsp;</div>",
"Soit E et F deux espaces vectoriels sur [$]\mathbb{K}[/$] et [$]u \in\mathcal{L}(E,F)[/$].&nbsp;<div><br /></div><div>u est surjective si et seulement si Im(u) = {{c2::F}}.</div><div>u est injective si et seulement si Ker(u) = {{c1::[$]\{ \overrightarrow{0_E} \}[/$]}} si et seulement si l'équation {{c3::[$]u( \overrightarrow{x} ) =&nbsp;\overrightarrow{0_F}[/$]}} possède une unique solution [$]\overrightarrow{x} =\overrightarrow{0_E}&nbsp;[/$]&nbsp;</div>",
"Soit E et F deux espaces vectoriels sur [$]\mathbb{K}[/$] et [$]u \in\mathcal{L}(E,F)[/$].&nbsp;<div><br /></div><div>u est surjective si et seulement si Im(u) = {{c2::F}}.</div><div>u est injective si et seulement si Ker(u) = {{c1::[$]\{ \overrightarrow{0_E} \}[/$]}} si et seulement si l'équation {{c3::[$]u( \overrightarrow{x} ) =&nbsp;\overrightarrow{0_F}[/$]}} possède une unique solution [$]\overrightarrow{x} =\overrightarrow{0_E}&nbsp;[/$]&nbsp;</div>",
"Soit E et F deux espaces vectoriels sur [$]\mathbb{K}[/$]. On appelle équation linéaire&nbsp;{{c1::toute équation du type [$]u(\overrightarrow{x} ) =&nbsp;\overrightarrow{b}&nbsp;[/$]<div><br /></div><div>où [$]u \in \mathcal{L}(E,F)[/$], d'inconnue&nbsp;[$]\overrightarrow{x} \in E[/$] et avec&nbsp;[$]\overrightarrow{b} \in F[/$]</div>}}",
"Soit E et F deux espaces vectoriels sur [$]\mathbb{K}, \; u \in\mathcal{L}(E,F) \; et \; \overrightarrow{b} \in F[/$].&nbsp;<div><br /></div><div>Si&nbsp;{{c1::[$]\overrightarrow{b} \notin Im(u)[/$]}}, l'équation [$]u(\overrightarrow{x} ) = \overrightarrow{b}[/$] &nbsp; d'inconnue[$]&nbsp;\overrightarrow{x} \in E[/$] ne possède aucune solution.</div><div><br /></div><div>Si&nbsp;{{c1::[$]\overrightarrow{b} \in Im(u)[/$]}} : on note&nbsp;[$]\overrightarrow{x_0} \in E[/$] une solution de l'équation&nbsp;[$]u(\overrightarrow{x} ) = \overrightarrow{b}[/$] et l'ensemble des solutions de cette équation est [$]S =&nbsp;&nbsp;{{c2::\overrightarrow{x_0} + Ker(u)}}[/$]</div>",
"Soit E et F deux espaces vectoriels sur [$]\mathbb{K}, \; u \in\mathcal{L}(E,F) \; et \; \overrightarrow{b} \in F[/$].&nbsp;<div><br /></div><div>Si&nbsp;{{c1::[$]\overrightarrow{b} \notin Im(u)[/$]}}, l'équation [$]u(\overrightarrow{x} ) = \overrightarrow{b}[/$] &nbsp; d'inconnue[$]&nbsp;\overrightarrow{x} \in E[/$] ne possède aucune solution.</div><div><br /></div><div>Si&nbsp;{{c1::[$]\overrightarrow{b} \in Im(u)[/$]}} : on note&nbsp;[$]\overrightarrow{x_0} \in E[/$] une solution de l'équation&nbsp;[$]u(\overrightarrow{x} ) = \overrightarrow{b}[/$] et l'ensemble des solutions de cette équation est [$]S =&nbsp;&nbsp;{{c2::\overrightarrow{x_0} + Ker(u)}}[/$]</div>",
Soit E un espace vectoriel sur [$]\mathbb{K}[/$]. On dit que [$]f: E \to F[/$] est une forme linéaire sur [$]\mathbb{K}[/$] si {{c1::f est linéaire.}},
Soit E un espace vectoriel sur [$]\mathbb{K}[/$]. On dit que le sous-espace vectoriel H de E est un hyperplan de E si {{c1::il possède comme supplémentaire dans E une droite vectorielle.&nbsp;}},
"Soit E un espace vectoriel sur [$]\mathbb{K}[/$]. Si [$]f: E \to K[/$] est une forme linéaire non nulle, alors&nbsp;<div><br /></div><div>pour tout&nbsp;{{c2::[$]\overrightarrow{a} \in E[/$] tel que&nbsp;[$]f(\overrightarrow{a} ) \neq 0[/$]}},&nbsp;{{c1::Ker(f) et la droite vectorielle&nbsp;[$]D = vect(\overrightarrow{a} )[/$]}}&nbsp;sont supplémentaires dans E.&nbsp;</div>",
"Soit E un espace vectoriel sur [$]\mathbb{K}[/$]. Si [$]f: E \to K[/$] est une forme linéaire non nulle, alors&nbsp;<div><br /></div><div>pour tout&nbsp;{{c2::[$]\overrightarrow{a} \in E[/$] tel que&nbsp;[$]f(\overrightarrow{a} ) \neq 0[/$]}},&nbsp;{{c1::Ker(f) et la droite vectorielle&nbsp;[$]D = vect(\overrightarrow{a} )[/$]}}&nbsp;sont supplémentaires dans E.&nbsp;</div>",
"Si H est une hyperplan d'un espace vectoriel E sur [$]\mathbb{K}[/$], alors il existe {{c2::une forme linéaire non nulle sur E notée f}} tel que H = {{c1::Ker(f)}}.",
"Si H est une hyperplan d'un espace vectoriel E sur [$]\mathbb{K}[/$], alors il existe {{c2::une forme linéaire non nulle sur E notée f}} tel que H = {{c1::Ker(f)}}.",
"Soit E un espace vectoriel sur [$]\mathbb{K}[/$] et [$]n \in \mathbb{N}^*[/$]. On dit que le système [$]S=(\overrightarrow{x_1},...,\overrightarrow{x_n} &nbsp;)[/$] de vecteurs de E est lié si&nbsp;<div><br /></div><div>{{c1::il existe [$](\lambda_1, ... , \lambda_n ) \in \mathbb{K}^n \setminus \{ (0,...,0 ) \}[/$] tel que [$]\lambda_1\overrightarrow{x_1} &nbsp;+ ... + \lambda_n&nbsp;\overrightarrow{x_n} =\overrightarrow{0}&nbsp;[/$]}}</div>",
"Soit E un espace vectoriel sur [$]\mathbb{K}[/$] et [$]n \in \mathbb{N}^*[/$]. On dit que le système [$]S=(\overrightarrow{x_1},...,\overrightarrow{x_n} &nbsp;)[/$] de vecteurs de E est libre si il n'est pas lié, c'est à dire si&nbsp;<div><br /></div><div>{{c1:: [$] \forall (\lambda_1, ... , \lambda_n ) \in \mathbb{K}^n , \; \lambda_1\overrightarrow{x_1} &nbsp;+ ... + \lambda_n&nbsp;\overrightarrow{x_n} =\overrightarrow{0} \Rightarrow \lambda_1 = \lambda_2 = ... = \lambda_n = 0 [/$]}}</div>",
"<u>Propriétés des système liés</u><div><u><br /></u></div><div>1. {{c1::Si on ajoute un vecteur à un système lié, le système obtenu est encore lié.}}</div><div>2. {{c2::Si un système contient le vecteur nul, celui-ci est lié.}}</div><div>3. {{c3::Si un système contient deux vecteurs égaux, alors celui-ci est lié.&nbsp;}}</div>",
"<u>Propriétés des système liés</u><div><u><br /></u></div><div>1. {{c1::Si on ajoute un vecteur à un système lié, le système obtenu est encore lié.}}</div><div>2. {{c2::Si un système contient le vecteur nul, celui-ci est lié.}}</div><div>3. {{c3::Si un système contient deux vecteurs égaux, alors celui-ci est lié.&nbsp;}}</div>",
